Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Sample_type,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N0692G1,N0692G,1/6/1986,54.54747237,-2.434358775,Grass,114,,,,,,,,,,,,,,,,,,,,,315.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0695G1,N0695G,1/6/1986,54.54797143,-1.738711157,Grass,108,,,,,,,,,,,,,,,,,,,,,230.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0699G1,N0699G,1/6/1986,54.54241573,-0.811310102,Grass,123,,,,,,,,,,,,,,,,,,,,,392.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0702G1,N0702G,1/6/1986,54.69571329,-4.375544592,Grass,127,,,,,,,,,,,,,,,,,,,,,5050.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N0703G1,N0703G,1/6/1986,54.66412493,-3.551879683,Grass,120,,,,,,,,,,,,,,,,,,,,,365.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N0704G1,N0704G,1/6/1986,54.67534922,-3.366200679,Grass,171,,,,,,,,,,,,,,,,,,,,,1383.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0705G1,N0705G,1/6/1986,54.67774883,-3.133640219,Grass,122,,,,,,,,,,,,,,,,,,,,,2859.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N0713G1,N0713G,1/6/1986,54.68087227,-1.272572032,Grass,126,,,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N0723G1,N0723G,1/6/1986,54.81599774,-2.670656849,Grass,92,,,,,,,,,,,,,,,,,,,,,165.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N0726G1,N0726G,1/6/1986,54.81784825,-1.970401247,Grass,250,,,,,,,,,,,,,,,,,,,,,926.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N0729G1,N0729G,1/6/1986,54.81601744,-1.332392455,Grass,131,,,,,,,,,,,,,,,,,,,,,211.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0732G1,N0732G,1/6/1986,54.92086803,-4.778971629,Grass,163,,,,,,,,,,,,,,,,,,,,,5136.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N0737G1,N0737G,1/6/1986,54.94199092,-3.609402317,Grass,150,,,,,,,,,,,,,,,,,,,,,5678.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0751G1,N0751G,1/6/1986,55.06959477,-4.084386102,Grass,122,,,,,,,,,,,,,,,,,,,,,11322.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N0753G1,N0753G,1/6/1986,55.07672962,-3.61480875,Grass,103,,,,,,,,,,,,,,,,,,,,,1869.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N0763G1,N0763G,1/6/1986,55.14079529,-4.982574097,Grass,104,,,,,,,,,,,,,,,,,,,,,1118,,,,,,,,,,,,,,,,,,
United_Kingdom,N0769G1,N0769G,1/6/1986,55.21146495,-3.620260588,Grass,109,,,,,,,,,,,,,,,,,,,,,10620,,,,,,,,,,,,,,,,,,
United_Kingdom,N0777G1,N0777G,1/6/1986,55.22193875,-1.734317763,Grass,135,,,,,,,,,,,,,,,,,,,,,624.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N0787G1,N0787G,1/6/1986,55.34911441,-3.389307362,Grass,189,,,,,,,,,,,,,,,,,,,,,928.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0789G1,N0789G,1/6/1986,55.35357703,-2.916292995,Grass,66,,,,,,,,,,,,,,,,,,,,,1456.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N0791G1,N0791G,1/6/1986,55.35620899,-2.443173807,Grass,140,,,,,,,,,,,,,,,,,,,,,1345.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0800G1,N0800G,1/6/1986,55.46937308,-4.342762954,Grass,88,,,,,,,,,,,,,,,,,,,,,5396.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0804G1,N0804G,1/6/1986,55.48385766,-3.394046047,Grass,75,,,,,,,,,,,,,,,,,,,,,1975.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0817G1,N0817G,1/6/1986,55.64783986,-4.830267605,Grass,168,,,,,,,,,,,,,,,,,,,,,2902.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N0819G1,N0819G,1/6/1986,55.60404032,-4.350787641,Grass,187,,,,,,,,,,,,,,,,,,,,,10370.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0820G1,N0820G,1/6/1986,55.60837192,-4.11288204,Grass,141,,,,,,,,,,,,,,,,,,,,,9193.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N0823G1,N0823G,1/6/1986,55.61859765,-3.398824906,Grass,67,,,,,,,,,,,,,,,,,,,,,1945,,,,,,,,,,,,,,,,,,
United_Kingdom,N0825G1,N0825G,1/6/1986,55.62310519,-2.922572136,Grass,123,,,,,,,,,,,,,,,,,,,,,768.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0826G1,N0826G,1/6/1986,55.62466561,-2.684402067,Grass,111,,,,,,,,,,,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,
United_Kingdom,N0827G1,N0827G,1/6/1986,55.62576366,-2.446212098,Grass,105,,,,,,,,,,,,,,,,,,,,,578.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0837G1,N0837G,1/6/1986,55.72860714,-4.836112548,Grass,152,,,,,,,,,,,,,,,,,,,,,5585.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0840G1,N0840G,1/6/1986,55.74305719,-4.12015756,Grass,70,,,,,,,,,,,,,,,,,,,,,5977.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N0845G1,N0845G,1/6/1986,55.75786462,-2.925751782,Grass,55,,,,,,,,,,,,,,,,,,,,,873.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N0847G1,N0847G,1/6/1986,55.76053647,-2.447750636,Grass,48,,,,,,,,,,,,,,,,,,,,,1695,,,,,,,,,,,,,,,,,,
