Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Latitude(radians),Longitude(radians),x,y,z,Sample_type,Classification,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N116401,N11640,15/10/1986,58.43330257,-4.862065501,1.019853523,-0.084859051,3323.158497,-282.678933,5428.291741,Red deer,Wildlife,227,,,,,,,,,,,,,,,,,,,,,,,,,163,57.7,54.7,128,22.7,178.8,59.2,102.7,776,A,O,F,919.2,325.1,308.2
United_Kingdom,N102201,N10220,15/10/1986,57.22512883,-6.292633775,0.998766913,-0.109827178,3428.094691,-378.0190792,5356.762956,Red deer,Wildlife,289,,,,,,,,,,,,,,,,,,,,,,,,,58.7,14.2,24.1,146.2,28.9,264.5,50,87.8,751.7,A,W,F,297.1,71.9,122.1
United_Kingdom,N102203,N10220,15/10/1986,57.22512883,-6.292633775,0.998766913,-0.109827178,3428.094691,-378.0190792,5356.762956,Red deer,Wildlife,290,,,,,,,,,,,,,,,,,,,,,,,,,56.8,12.3,44.6,147.8,29,283.1,52.6,89.3,761.3,Y,W,F,289.3,62.7,227.5
United_Kingdom,N076503,N07650,15/10/1986,55.25512255,-4.495374471,0.964383817,-0.078459086,3619.811232,-284.5912842,5235.037292,Red deer,Wildlife,267,,,,,,,,,,,,,,,,,,,,,,,,,540.2,206.7,81,155.8,26.7,932.1,349.2,36.3,152.5,Y,W,F,3153,1206.7,472.8
United_Kingdom,N076505,N07650,15/10/1986,55.25512255,-4.495374471,0.964383817,-0.078459086,3619.811232,-284.5912842,5235.037292,Red deer,Wildlife,265,,,,,,,,,,,,,,,,,,,,,,,,,412.2,155.3,22.9,148.1,26.5,903.8,341.8,80.5,151.6,A,W,F,2304,868.1,128.3
United_Kingdom,N076507,N07650,15/10/1986,55.25512255,-4.495374471,0.964383817,-0.078459086,3619.811232,-284.5912842,5235.037292,Red deer,Wildlife,268,,,,,,,,,,,,,,,,,,,,,,,,,352.7,131.6,39.2,165.6,26.8,904.1,339.2,92.6,154.8,Y,W,F,2179.5,813.3,242
United_Kingdom,N102405,N10240,15/10/1986,57.25502923,-5.59929714,0.999288773,-0.097726171,3429.635387,-336.2362133,5358.562057,Red deer,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,4.4,31.6,140.7,,53.1,4.9,88.1,741.4,A,W,F,,,
United_Kingdom,N099105,N09910,15/10/1986,56.94813189,-4.418321103,0.993932404,-0.077114251,3464.404566,-267.68578,5340.02681,Red deer,Wildlife,259,,,,,,,,,,,,,,,,,,,,,,,,,408.6,130.4,28.5,185.9,25.9,1658.8,539.7,126.9,764.3,A,O,M,2932.9,936.2,204.7
United_Kingdom,N095709,N09570,15/10/1986,56.77917288,-4.464730975,0.990983513,-0.077924256,3479.870889,-271.7165433,5329.757004,Red deer,Wildlife,242,,,,,,,,,,,,,,,,,,,,,,,,,301.1,94.5,50.6,148.4,24.2,1657.4,530.9,107.9,761.3,A,O,M,1845.6,579.1,310.1
United_Kingdom,N095791,N09579,15/10/1986,56.77917288,-4.464730975,0.990983513,-0.077924256,3479.870889,-271.7165433,5329.757004,Red deer,Wildlife,330,,,,,,,,,,,,,,,,,,,,,,,,,524.4,165.9,86.7,125.6,33,1377.4,436.1,129.1,758.5,A,O,M,1995.8,631.5,329.8
United_Kingdom,N098803,N09880,15/10/1986,57.02727635,-5.107419204,0.995313736,-0.089141281,3453.58426,-308.6749541,5344.821469,Red deer,Wildlife,229,,,,,,,,,,,,,,,,,,,,,,,,,59.5,18.4,27.9,128.7,22.9,159.9,44.3,87.9,766.2,A,W,F,334.2,103.1,156.9
United_Kingdom,N115661,N11566,15/10/1986,58.36481616,-4.389696377,1.018658209,-0.076614655,3331.84315,-255.7686466,5424.301303,Red grouse,Wildlife,117,,,,,,,,,,,,,,,,,,,,,,,,,408.3,147.1,199.5,28.5,11.7,962.5,325,85,159,A,O,M,994.7,358.3,485.9
United_Kingdom,N115663,N11566,15/10/1986,58.36481616,-4.389696377,1.018658209,-0.076614655,3331.84315,-255.7686466,5424.301303,Red grouse,Wildlife,356,,,,,,,,,,,,,,,,,,,,,,,,,692.4,267.9,491.3,86.2,35.6,1684.3,602.1,110.6,148.8,A,O,F,1675.7,648.2,1188.9
United_Kingdom,N111061,N11106,15/10/1986,57.77014799,-5.014576097,1.008279292,-0.087520863,3384.75818,-296.9956653,5389.327104,Red grouse,Wildlife,20,,,,,,,,,,,,,,,,,,,,,,,,,335.8,67.5,0,5.8,2,548.5,110.5,113.2,147.7,A,O,M,990.6,199.2,0
